epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6182,1.79024,3.73099,1.86294,0.14263,0.12868,0.13193,0.08698,2.05108,3.31817,2.11482,0.0700677,0.00332581,0.00332581
2,73.4891,1.71619,3.08966,1.77599,0.74743,0.22778,0.24141,0.11501,2.15225,3.42461,2.52703,0.0400018,0.00659322,0.00659322
3,108.963,1.75515,2.69197,1.79198,0.38309,0.33838,0.30301,0.14421,2.14168,2.93256,2.16583,0.00986987,0.00979462,0.00979462
4,144.132,1.75072,2.53431,1.8052,0.54597,0.22443,0.21301,0.07586,2.49096,3.24042,2.68322,0.009703,0.009703,0.009703
5,179.364,1.70035,2.34713,1.77089,0.6113,0.32593,0.3558,0.16679,2.0639,2.88646,2.17481,0.009604,0.009604,0.009604
